name,ra,dec,vmag
HIP 18907,04 03 09.3768,+05 59 21.513,3.91
HIP 109427,22 10 11.8198,+06 11 52.040,3.52
HIP 25336,05 25 07.8682,+06 20 59.044,1.64
HIP 98036,19 55 18.7662,+06 24 28.560,3.71
HIP 43109,08 46 46.6462,+06 25 08.065,3.38
HIP 77070,15 44 15.9958,+06 25 31.871,2.63
HIP 22449,04 49 50.1382,+06 57 40.491,3.19
ベテルギウス,05 55 10.2892,+07 24 25.331,0.45
HIP 36188,07 27 09.0723,+08 17 21.872,2.89
アルタイル,19 50 46.6821,+08 52 02.586,0.76
HIP 15900,03 24 48.8376,+09 01 44.634,3.61
HIP 40526,08 16 30.9482,+09 11 08.387,3.53
HIP 51624,10 32 48.6751,+09 18 23.740,3.84
HIP 83000,16 57 40.2706,+09 22 30.203,3.19
HIP 88771,18 07 21.0207,+09 33 49.152,3.71
HIP 16083,03 27 10.1209,+09 43 57.981,3.73
HIP 107315,21 44 11.1403,+09 52 30.028,2.38
HIP 47508,09 41 09.1179,+09 53 32.636,3.52
HIP 26207,05 35 08.2777,+09 56 02.987,3.39
HIP 76276,15 34 48.1902,+10 32 19.893,3.80
HIP 97278,19 46 15.5702,+10 36 47.767,2.72
HIP 112029,22 41 27.6748,+10 49 53.008,3.41
HIP 63608,13 02 10.7605,+10 57 32.767,2.85
レグルス,10 08 22.4594,+11 58 01.902,1.36
HIP 18724,04 00 40.8206,+12 29 25.353,3.41
HIP 86032,17 34 56.0048,+12 33 38.073,2.08
HIP 32362,06 45 17.4336,+12 53 45.798,3.35
HIP 71795,14 41 08.9204,+13 43 41.992,3.78
HIP 93747,19 05 24.6124,+13 51 49.355,2.99
HIP 84345,17 14 38.8624,+14 23 24.911,2.78
HIP 57632,11 49 03.8783,+14 34 20.413,2.14
HIP 101769,20 37 32.8698,+14 35 42.730,3.64
HIP 1067,00 13 14.1500,+15 11 01.017,2.83
HIP 113963,23 04 45.6168,+15 12 19.324,2.49
HIP 7097,01 31 28.9939,+15 20 44.992,3.62
HIP 77233,15 46 11.2149,+15 25 18.934,3.65
HIP 54879,11 14 14.4409,+15 25 47.147,3.33
HIP 20205,04 19 47.5339,+15 37 39.721,3.65
HIP 78072,15 56 26.9942,+15 39 53.040,3.85
HIP 20894,04 28 39.6749,+15 52 15.408,3.40
HIP 101958,20 39 38.2545,+15 54 43.390,3.77
HIP 20885,04 28 34.4323,+15 57 43.982,3.84
HIP 31681,06 37 42.7023,+16 23 57.893,1.93
HIP 21421,04 35 55.2005,+16 30 35.142,0.87
HIP 35350,07 18 05.6068,+16 32 25.711,3.58
HIP 49583,10 07 19.9535,+16 45 45.597,3.48
HIP 20455,04 22 56.0273,+17 32 33.303,3.77
HIP 42911,08 44 41.1101,+18 09 17.510,3.94
HIP 67927,13 54 41.1162,+18 23 54.915,2.68
HIP 97365,19 47 23.2652,+18 32 03.333,3.68
HIP 80170,16 21 55.2437,+19 09 10.879,3.74
HIP 20889,04 28 36.9333,+19 10 49.875,3.53
アークトゥルス,14 15 40.3474,+19 11 14.172,-0.05
HIP 8832,01 53 31.7652,+19 17 38.734,3.88
HIP 98337,19 58 45.3876,+19 29 31.534,3.51
HIP 50583,10 19 58.1617,+19 50 30.697,2.01
HIP 54872,11 14 06.4121,+20 31 26.522,2.56
HIP 8903,01 54 38.3491,+20 48 29.878,2.64
HIP 26451,05 37 38.6843,+21 08 33.335,2.97
HIP 80816,16 30 13.2617,+21 29 22.735,2.78
HIP 90139,18 23 41.7668,+21 46 13.233,3.85
HIP 35550,07 20 07.3893,+21 58 56.422,3.50
HIP 29655,06 14 52.6967,+22 30 24.566,3.31
HIP 30343,06 22 57.5911,+22 30 49.861,2.87
HIP 50335,10 16 41.4043,+23 25 02.382,3.43
HIP 9884,02 07 10.2858,+23 27 45.999,2.01
HIP 112440,22 46 31.8424,+23 33 56.446,3.97
HIP 47908,09 45 51.1024,+23 46 27.401,2.97
HIP 17847,03 49 09.7312,+24 03 12.687,3.62
HIP 17702,03 47 29.0642,+24 06 18.871,2.85
HIP 17499,03 44 52.5235,+24 06 48.414,3.72
HIP 17573,03 45 49.5931,+24 22 04.289,3.87
HIP 37740,07 44 26.8686,+24 23 53.265,3.57
HIP 112748,22 50 00.1003,+24 36 06.065,3.51
HIP 84379,17 15 01.9242,+24 50 22.515,3.12
HIP 32246,06 43 55.9298,+25 07 52.159,3.06
HIP 109176,22 07 00.4745,+25 20 42.166,3.77
HIP 48455,09 52 45.9577,+26 00 25.506,3.88
HIP 76952,15 42 44.6382,+26 17 43.851,3.81
HIP 76267,15 34 41.1895,+26 42 53.677,2.22
HIP 72105,14 44 59.2509,+27 04 27.026,2.35
HIP 13209,02 49 58.9894,+27 15 38.846,3.61
HIP 86974,17 46 27.7189,+27 43 20.997,3.42
HIP 36046,07 25 43.6761,+27 47 53.828,3.78
HIP 95947,19 30 43.2853,+27 57 34.901,3.05
ポルックス,07 45 19.3638,+28 01 34.717,1.16
HIP 113881,23 03 46.3334,+28 04 56.837,2.44
ベラトリックス,05 26 17.4979,+28 36 28.344,1.65
HIP 88794,18 07 32.5508,+28 45 44.893,3.84
アルフェラッツ,00 08 23.1680,+29 05 26.981,2.07
HIP 75695,15 27 49.8519,+29 06 19.770,3.66
HIP 87933,17 57 45.8307,+29 14 52.531,3.70
HIP 8796,01 53 04.8998,+29 34 45.830,3.42
HIP 112158,22 43 00.1286,+30 13 16.711,2.93
HIP 104732,21 12 56.1815,+30 13 37.493,3.21
HIP 71053,14 31 49.8578,+30 22 16.122,3.57
HIP 3092,00 39 19.5974,+30 51 40.413,3.27
HIP 83207,17 00 17.4062,+30 55 34.821,3.92
HIP 55203,11 18 11.2400,+31 31 50.800,3.79
HIP 81693,16 41 17.4771,+31 36 06.793,2.81
HIP 18246,03 54 07.9185,+31 53 01.168,2.84
カストル,07 34 36.0046,+31 53 19.091,1.58
HIP 17448,03 44 19.1264,+32 17 17.784,3.84
HIP 93194,18 58 56.6246,+32 41 22.391,3.25
HIP 55219,11 18 28.7553,+33 05 39.260,3.49
HIP 23015,04 56 59.6162,+33 09 58.087,2.69
HIP 74666,15 15 30.1038,+33 18 54.368,3.46
HIP 92420,18 50 04.7939,+33 21 45.640,3.52
HIP 33018,06 52 47.3401,+33 57 40.931,3.60
HIP 102488,20 46 12.4322,+33 58 10.032,2.48
HIP 53229,10 53 18.6399,+34 12 56.039,3.79
HIP 45860,09 21 03.4588,+34 23 33.093,3.14
HIP 10064,02 09 32.5209,+34 59 14.611,3.00
HIP 98110,19 56 18.3962,+35 05 00.567,3.89
HIP 5447,01 09 43.7976,+35 37 14.990,2.07
HIP 18614,03 58 57.8997,+35 47 27.697,3.98
HIP 45688,09 18 50.6673,+36 48 10.431,3.82
HIP 84380,17 15 02.8543,+36 48 32.959,3.16
HIP 28380,05 59 43.2382,+37 12 45.951,2.65
HIP 87808,17 56 15.1785,+37 15 01.878,3.86
HIP 104887,21 14 47.3466,+38 02 39.554,3.74
